7.632,9396,488371,
8.022,13056,1310003,
8.396,746,17573,
8.436,920,33262,
8.526,1089,46357,
8.615,747,12738,
8.64,954,8501,
8.688,1020,33610,
8.818,1037,85033,
8.965,1762,83236,
9.078,7569,204109,
9.257,8510,1064141,
9.517,3121,331394,
9.924,898,35373,
10.07,769,12757,
10.135,802,22105,
10.2,828,8723,
10.224,783,14842,
10.289,1396,34441,
10.403,2453,163116,
10.468,2642,69705,
10.541,1712,38615,
10.655,1086,53334,
10.907,1813,135198,
10.972,1450,31366,
11.013,1229,24188,
11.062,1128,34982,
11.118,1360,34308,
11.175,2841,91221,
11.273,4410,65789,
11.362,1080,17482,
11.484,1864,70906,
11.574,2520,141678,
11.826,2668,247693,
11.874,2327,40327,
11.931,1660,85592,
12.045,1017,28023,
12.126,1840,97789,
12.208,1899,25549,
12.256,1739,25742,
12.329,1465,133762,
12.695,3019,304556,
12.947,781,20745,
12.996,825,24350,
13.102,941,13064,
13.158,863,22840,
13.232,1113,23293,
13.272,899,17842,
13.353,610,28762,
13.451,703,7339,
13.492,904,19135,
13.54,1273,27589,
13.662,1687,94518,
13.817,2406,190682,
13.89,1782,80239,
13.996,1843,51725,
14.069,1797,118850,
14.207,1456,29287,
14.296,2533,129232,
14.378,2803,98374,
14.418,2433,42836,
14.483,2227,60177,
14.524,2294,67823,
14.597,1934,47143,
14.654,1741,71968,
14.768,1698,67871,
14.825,1641,66018,
14.946,989,20641,
15.003,1120,29393,
15.085,1625,54641,
15.125,1920,31021,
15.312,54123,5344598,
15.597,4602,246487,
15.727,3430,122558,
15.865,4174,537504,
16.166,2061,78195,
16.255,1526,55333,
16.393,1690,122480,
16.515,1744,101976,
16.661,1638,58412,
16.783,1159,31989,
16.889,2949,225627,
17.035,2071,101993,
17.133,1491,34756,
17.181,1767,91660,
17.385,1888,167514,
17.507,2104,43341,
17.628,2586,126779,
17.669,1706,34895,
17.75,1784,117735,
17.856,1805,84404,
17.945,1489,23966,
17.97,1287,52126,
18.075,1612,44628,
18.1,1582,43541,
18.165,1391,29497,
18.205,1246,55521,
18.311,1842,83354,
18.417,1540,45457,
18.482,1874,74935,
18.555,1825,101918,
18.701,1790,59330,
18.791,1558,68001,
18.929,1704,169312,
19.14,1859,78832,
19.173,1958,117737,
19.327,1824,42496,
19.368,1860,46582,
19.449,1624,73612,
19.579,1830,83352,
19.62,1714,30961,
19.66,1628,49716,
19.725,1701,103123,
19.888,1956,93651,
19.993,2087,94756,
20.075,1455,46781,
20.14,1720,40493,
20.172,73391,463237,
20.327,2324,155496,
20.4,2157,113592,
20.538,2475,237856,
20.684,1919,59897,
20.822,2479,145604,
20.879,1956,48280,
20.936,2382,105902,
21.009,2097,33061,
21.058,2166,166037,
21.18,2399,32461,
21.221,2252,67923,
21.261,2476,45799,
21.619,5515,1073883,
21.879,5535,520592,
22.033,3210,165927,
22.163,2842,112748,
22.204,2579,55973,
22.253,2629,153675,
22.383,3111,83905,
22.464,2985,193551,
22.562,2410,68184,
22.675,2552,142006,
22.765,2595,128078,
22.806,2635,124165,
22.895,2244,85832,
22.976,2310,38525,
23.041,2819,203660,
23.155,3079,140213,
23.236,2342,72043,
23.309,2911,109127,
23.358,2695,57857,
23.407,2926,113440,
23.496,2803,74096,
23.586,4321,249477,
23.651,3907,203634,
23.773,8531,330782,
23.935,2911,226927,
24.057,3154,91486,
24.13,3045,144112,
24.244,4154,383369,
24.39,2961,160012,
24.504,2752,75795,
24.569,3464,178815,
24.691,3111,232596,
24.902,4585,521233,
25.081,3170,114662,
25.154,3117,126656,
25.268,2913,270723,
25.398,2989,73053,
25.642,4869,663265,
25.853,12075,1295715,
26.065,7535,370487,
26.252,3489,169275,
26.357,3407,120949,
26.512,12569,1682457,
26.869,3490,198496,
27.04,3987,261838,
27.089,4008,89528,
27.145,4306,264464,
27.276,3473,107380,
27.316,3608,101360,
27.446,4079,533325,
27.601,3626,114796,
27.666,3343,71494,
27.974,4826,649459,
27.999,4601,187452,
28.291,4807,789140,
28.454,3963,149363,
28.535,4737,219121,
28.771,4769,615193,
28.869,4727,361270,
29.039,4287,278553,
29.21,4892,342519,
29.299,4505,384345,
29.689,5518,934047,
29.844,8894,896728,
30.185,282897,16983373,
30.583,5682,740931,
30.795,5749,176562,
30.884,5162,346999,
30.998,5604,379454,
31.193,5978,887342,
31.51,5362,702489,
31.762,10210,1423659,
32.168,13952,1590133,
32.461,10956,1355219,
32.64,5620,181344,
32.932,6491,1427161,
33.217,12258,1119470,
33.428,29097,3249955,
33.769,11122,1806597,
34.241,45600,4113733,
34.517,7133,328085,
34.696,9939,1301689,
34.875,8723,869417,
35.2,327943,22627525,
35.549,33127,3789968,
35.891,63736,5042629,
36.199,10191,1038598,
36.5,438842,30249250,
37.004,11617,1345132,
37.272,23092,2818120,
37.605,9592,1129154,
37.833,8746,1189665,
38.06,8483,889166,
38.345,17810,3828922,
38.865,69228,838207,
38.938,7668,1705501,
39.353,7957,1269837,
39.694,8552,1257634,
40.19,16903,2986034,
40.369,8193,963618,
40.58,7475,965755,
40.929,7841,861217,
40.986,7781,539829,
41.214,7713,802588,
41.368,8025,1375919,
41.62,7808,593995,
41.742,7315,390137,
41.905,7872,1785166,
42.287,7897,775483,
42.392,9878,798459,
42.709,7745,1249102,
42.904,7706,1068114,
43.156,8081,1646706,
43.441,8358,457782,
43.595,8869,1074436,
43.766,8008,272067,
43.896,12790,1697819,
44.115,8306,762048,
44.327,8238,1852728,
44.692,8256,486740,
44.79,7890,307061,
44.863,8194,935969